(-64, 1)
(-63, -0.92388)
(-62, 0.707107)
(-61, -0.382683)
(-60, 0)
(-59, 0.382683)
(-58, -0.707107)
(-57, 0.92388)
(-56, -1)
(-55, 0.92388)
(-54, -0.707107)
(-53, 0.382683)
(-52, 0)
(-51, -0.382683)
(-50, 0.707107)
(-49, -0.92388)
(-48, 1)
(-47, -0.92388)
(-46, 0.707107)
(-45, -0.382683)
(-44, 0)
(-43, 0.382683)
(-42, -0.707107)
(-41, 0.92388)
(-40, -1)
(-39, 0.92388)
(-38, -0.707107)
(-37, 0.382683)
(-36, 0)
(-35, -0.382683)
(-34, 0.707107)
(-33, -0.92388)
(-32, 1)
(-31, -0.92388)
(-30, 0.707107)
(-29, -0.382683)
(-28, 0)
(-27, 0.382683)
(-26, -0.707107)
(-25, 0.92388)
(-24, -1)
(-23, 0.92388)
(-22, -0.707107)
(-21, 0.382683)
(-20, 0)
(-19, -0.382683)
(-18, 0.707107)
(-17, -0.92388)
(-16, 1)
(-15, -0.92388)
(-14, 0.707107)
(-13, -0.382683)
(-12, 0)
(-11, 0.382683)
(-10, -0.707107)
(-9, 0.92388)
(-8, -1)
(-7, 0.92388)
(-6, -0.707107)
(-5, 0.382683)
(-4, 0)
(-3, -0.382683)
(-2, 0.707107)
(-1, -0.92388)
(0, 1)
(1, -0.92388)
(2, 0.707107)
(3, -0.382683)
(4, 0)
(5, 0.382683)
(6, -0.707107)
(7, 0.92388)
(8, -1)
(9, 0.92388)
(10, -0.707107)
(11, 0.382683)
(12, 0)
(13, -0.382683)
(14, 0.707107)
(15, -0.92388)
(16, 1)
(17, -0.92388)
(18, 0.707107)
(19, -0.382683)
(20, 0)
(21, 0.382683)
(22, -0.707107)
(23, 0.92388)
(24, -1)
(25, 0.92388)
(26, -0.707107)
(27, 0.382683)
(28, 0)
(29, -0.382683)
(30, 0.707107)
(31, -0.92388)
(32, 1)
(33, -0.92388)
(34, 0.707107)
(35, -0.382683)
(36, 0)
(37, 0.382683)
(38, -0.707107)
(39, 0.92388)
(40, -1)
(41, 0.92388)
(42, -0.707107)
(43, 0.382683)
(44, 0)
(45, -0.382683)
(46, 0.707107)
(47, -0.92388)
(48, 1)
(49, -0.92388)
(50, 0.707107)
(51, -0.382683)
(52, 0)
(53, 0.382683)
(54, -0.707107)
(55, 0.92388)
(56, -1)
(57, 0.92388)
(58, -0.707107)
(59, 0.382683)
(60, 0)
(61, -0.382683)
(62, 0.707107)
(63, -0.92388)
